title,year,duration_min,genre,rating
El Padrino,1972,175,Drama,9.2
Pulp Fiction,1994,154,Crimen,8.9
Forrest Gump,1994,142,Drama,8.8
Matrix,1999,136,Accion,8.7
Titanic,1997,195,Romance,7.9
Gladiator,2000,155,Accion,8.5
Inception,2010,148,Ciencia ficcion,8.8
El Rey Leon,1994,88,Animacion,8.5
Interstellar,2014,169,Ciencia ficcion,8.7
Avatar,2009,162,Accion,7.9
Joker,2019,122,Drama,8.4
Parasitos,2019,132,Drama,8.6
La La Land,2016,128,Musical,8.0
Coco,2017,105,Animacion,8.4
Toy Story,1995,81,Animacion,8.3
