mes,producto,unidades,precio_unidad
Enero,Cafe,122,6.58
Enero,Te,34,6.12
Enero,Pan,40,2.09
Enero,Leche,94,4.21
Enero,Zumo,136,5.21
Enero,Galletas,171,5.56
Enero,Cereales,72,7.79
Enero,Yogur,177,2.49
Febrero,Cafe,40,5.32
Febrero,Te,77,4.67
Febrero,Pan,108,3.04
Febrero,Leche,78,3.8
Febrero,Zumo,34,4.19
Febrero,Galletas,194,5.33
Febrero,Cereales,127,4.6
Febrero,Yogur,83,4.27
Marzo,Cafe,70,5.76
Marzo,Te,92,1.46
Marzo,Pan,151,7.6
Marzo,Leche,33,6.66
Marzo,Zumo,28,1.11
Marzo,Galletas,149,5.79
Marzo,Cereales,130,5.78
Marzo,Yogur,191,4.47
Abril,Cafe,194,2.21
Abril,Te,100,2.81
Abril,Pan,123,6.29
Abril,Leche,153,2.46
Abril,Zumo,23,2.29
Abril,Galletas,165,6.43
Abril,Cereales,181,3.77
Abril,Yogur,33,6.09
